Area,time_of_day,trips,avg_density,density_norm,trips_norm,Traffic_Score
AIIMS,Afternoon,83,2.1686746987951806,0.45825781000106613,0.5700934579439252,0.49180850438392376
AIIMS,Evening Peak,120,2.9833333333333334,0.876401179941003,0.9158878504672897,0.8882471810988889
AIIMS,Morning Peak,94,3.0851063829787235,0.9286386744492564,0.6728971962616822,0.8519162309929841
AIIMS,Night,32,1.65625,0.19524336283185836,0.09345794392523364,0.16470773715987094
Chandni Chowk,Afternoon,91,2.1868131868131866,0.4675678303996887,0.6448598130841121,0.5207554252050157
Chandni Chowk,Evening Peak,115,3.1043478260869564,0.9385148133897653,0.8691588785046729,0.9177080329242375
Chandni Chowk,Morning Peak,89,2.8764044943820224,0.8215173510987372,0.6261682242990654,0.7629126130588357
Chandni Chowk,Night,22,1.8181818181818181,0.2783588093322606,0.0,0.19485116653258241
Civil Lines,Afternoon,89,2.3820224719101124,0.5677637466441285,0.6261682242990654,0.5852850899406096
Civil Lines,Evening Peak,116,3.0775862068965516,0.9247787610619469,0.8785046728971962,0.9108965346125217
Civil Lines,Morning Peak,112,2.9107142857142856,0.8391276864728192,0.8411214953271028,0.8397258291291043
Civil Lines,Night,36,1.5277777777777777,0.12930186823992124,0.1308411214953271,0.129763644216543
Connaught Place,Afternoon,94,2.24468085106383,0.4972698173601959,0.6728971962616822,0.5499580310306418
Connaught Place,Evening Peak,90,3.088888888888889,0.9305801376597838,0.6355140186915887,0.8420603019693251
Connaught Place,Morning Peak,85,3.0470588235294116,0.9091098386257157,0.5887850467289719,0.8130124010566926
Connaught Place,Night,34,1.7647058823529411,0.25091098386257155,0.11214953271028037,0.20928254851688416
Dwarka,Afternoon,86,2.2674418604651163,0.5089524593537765,0.5981308411214953,0.5357059738840921
Dwarka,Evening Peak,129,3.13953488372093,0.9565754270426013,1.0,0.9696027989298208
Dwarka,Morning Peak,92,2.891304347826087,0.8291650634859562,0.6542056074766355,0.77667722668316
Dwarka,Night,41,1.7073170731707317,0.22145478091949056,0.17757009345794392,0.20828937468102657
Greater Kailash,Afternoon,82,2.1951219512195124,0.47183250593567894,0.5607476635514018,0.4985070532203958
Greater Kailash,Evening Peak,122,3.1147540983606556,0.9438560858842304,0.9345794392523364,0.9410730918946622
Greater Kailash,Morning Peak,86,2.9186046511627906,0.8431776085614323,0.5981308411214953,0.7696635783294512
Greater Kailash,Night,32,1.59375,0.16316371681415925,0.09345794392523364,0.14225198494748156
Hauz Khas,Afternoon,72,2.25,0.5,0.4672897196261682,0.49018691588785046
Hauz Khas,Evening Peak,116,3.2241379310344827,1.0,0.8785046728971962,0.9635514018691589
Hauz Khas,Morning Peak,82,2.951219512195122,0.8599179797107706,0.5607476635514018,0.7701668848629599
Hauz Khas,Night,32,1.5,0.11504424778761058,0.09345794392523364,0.1085683566288975
IGI Airport,Afternoon,101,2.297029702970297,0.5241391395776744,0.7383177570093458,0.5883927248071759
IGI Airport,Evening Peak,108,3.2037037037037037,0.9895116355293347,0.8037383177570093,0.933779640197637
IGI Airport,Morning Peak,107,2.8317757009345796,0.7986105367628816,0.794392523364486,0.7973451327433628
IGI Airport,Night,27,1.4444444444444444,0.08652900688298913,0.04672897196261682,0.07458899640687744
Janakpuri,Afternoon,79,2.2025316455696204,0.4756357118852919,0.5327102803738317,0.4927580824318538
Janakpuri,Evening Peak,114,3.087719298245614,0.9299798167986337,0.8598130841121495,0.9089297969926884
Janakpuri,Morning Peak,99,2.9393939393939394,0.8538482166800752,0.719626168224299,0.8135816021433422
Janakpuri,Night,35,1.457142857142857,0.09304677623261685,0.12149532710280374,0.10158134149367293
Kalkaji,Afternoon,76,2.263157894736842,0.5067536096879366,0.5046728971962616,0.506129395940434
Kalkaji,Evening Peak,115,3.026086956521739,0.8983455175067333,0.8691588785046729,0.8895895258061151
Kalkaji,Morning Peak,88,2.9318181818181817,0.8499597747385358,0.616822429906542,0.7800185712889376
Kalkaji,Night,38,1.5789473684210527,0.15556590591523053,0.14953271028037382,0.1537559472247735
Karol Bagh,Afternoon,82,2.2804878048780486,0.5156486078135116,0.5607476635514018,0.5291783245348787
Karol Bagh,Evening Peak,115,3.0956521739130434,0.9340515582916507,0.8691588785046729,0.9145837543555573
Karol Bagh,Morning Peak,94,3.0,0.8849557522123894,0.6728971962616822,0.8213381854271772
Karol Bagh,Night,24,1.6666666666666667,0.20058997050147492,0.018691588785046728,0.14602045598654648
Lajpat Nagar,Afternoon,72,2.3472222222222223,0.5499016715830876,0.4672897196261682,0.5251180859960117
